Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1649.299786000001
FDW14,OUT017,1435.9121343750003
NCN55,OUT010,584.7577647727273
FDQ58,OUT017,2649.110232432432
FDY38,OUT027,6280.89088
FDH56,OUT046,1922.149381714286
FDL48,OUT018,713.8586545454546
FDC48,OUT027,2517.882088484848
FDN33,OUT045,1879.2570116129027
FDA36,OUT017,2752.970934653465
FDT44,OUT017,1922.149381714286
FDQ56,OUT045,1435.9121343750003
NCC54,OUT019,584.7577647727273
FDU11,OUT049,2142.743570940171
DRL59,OUT013,713.8586545454546
FDM24,OUT049,2286.4132673684203
FDI57,OUT045,3130.004904950494
DRC12,OUT018,2893.83982589928
NCM42,OUT027,3242.062071532848
FDA46,OUT010,482.6995426229506
FDA31,OUT013,2778.5893175257743
NCJ31,OUT035,3737.2957751824797
FDG52,OUT046,798.217603539823
NCL19,OUT019,281.48208181818165
FDS10,OUT035,3384.1080642424226
FDX22,OUT010,584.7577647727273
NCF19,OUT035,798.217603539823
NCE06,OUT046,2503.5013364485985
DRC27,OUT046,3643.51972598425
FDE21,OUT035,1922.149381714286
NCR42,OUT019,92.67548155339803
FDX51,OUT018,2893.83982589928
NCR06,OUT018,507.0464036697249
FDU31,OUT027,5329.314724444443
FDU59,OUT017,2503.5013364485985
FDR03,OUT027,5329.314724444443
FDS49,OUT027,2517.882088484848
FDD48,OUT010,281.48208181818165
NCF18,OUT017,2939.348476190476
NCD43,OUT027,2517.882088484848
NCD54,OUT018,1752.25244
FDY19,OUT010,281.48208181818165
NCY54,OUT017,2778.5893175257743
NCL19,OUT018,2232.84702184874
FDP23,OUT010,584.7577647727273
FDC26,OUT013,1649.299786000001
FDR14,OUT010,165.91858165137614
NCS41,OUT035,3384.1080642424226
FDF41,OUT035,3737.2957751824797
FDU34,OUT046,1987.2510486486476
DRH11,OUT046,935.0323883040938
FDM03,OUT013,1461.8437959999997
FDS31,OUT017,3384.1080642424226
FDJ20,OUT017,2142.743570940171
FDV44,OUT027,5329.314724444443
FDG02,OUT049,2752.970934653465
FDA09,OUT013,3259.562084905661
FDT04,OUT013,507.0464036697249
FDL58,OUT019,584.7577647727273
FDE52,OUT045,1435.9121343750003
FDW12,OUT035,2286.4132673684203
FDL51,OUT017,3643.51972598425
NCY42,OUT027,3242.062071532848
FDR07,OUT017,1573.0706258064515
FDN40,OUT045,2286.4132673684203
FDB35,OUT027,2517.882088484848
FDA22,OUT017,2286.4132673684203
NCL06,OUT046,4034.3003068965486
FDI35,OUT013,3384.1080642424226
NCW42,OUT045,4340.218358415841
NCX06,OUT049,2778.5893175257743
FDC37,OUT027,2517.882088484848
FDZ14,OUT018,1752.25244
DRG49,OUT049,3454.0625591549287
NCG06,OUT045,4034.3003068965486
DRC36,OUT045,3259.562084905661
FDV21,OUT019,281.48208181818165
FDB53,OUT046,3053.099877777779
DRP47,OUT019,584.7577647727273
FDA14,OUT013,3053.099877777779
DRC24,OUT035,2644.4778427083347
FDW21,OUT018,1372.6884907407405
NCH29,OUT046,1682.2122382352936
FDU58,OUT013,2893.83982589928
FDY27,OUT017,2552.0052351851864
FDV56,OUT035,1682.2122382352936
FDT59,OUT046,3945.4325672131163
FDB23,OUT046,3945.4325672131163
FDR49,OUT045,798.217603539823
FDB03,OUT010,584.7577647727273
FDN39,OUT045,2453.747700699301
FDX02,OUT027,5329.314724444443
FDQ16,OUT027,2517.882088484848
FDU35,OUT018,1372.6884907407405
NCT29,OUT013,1987.2510486486476
FDZ27,OUT046,798.217603539823
FDN57,OUT017,2309.2007980000003
FDA03,OUT018,2232.84702184874
FDZ36,OUT045,3384.1080642424226
NCU05,OUT013,1284.7897668711653
FDT39,OUT018,2232.84702184874
FDK60,OUT017,1461.8437959999997
FDZ25,OUT017,3053.099877777779
FDG12,OUT046,2243.669596721312
DRB01,OUT019,482.6995426229506
NCC43,OUT027,6280.89088
FDX13,OUT019,584.7577647727273
FDM22,OUT049,796.6402682539683
FDJ03,OUT027,1378.2631852760742
FDU14,OUT018,3327.95258292683
FDB33,OUT010,346.89728372093043
FDP27,OUT046,3391.5912527272717
FDO38,OUT010,165.91858165137614
FDE28,OUT027,6280.89088
FDO27,OUT035,1879.2570116129027
DRL23,OUT027,2517.882088484848
FDS28,OUT046,935.0323883040938
FDX24,OUT013,1435.9121343750003
FDZ02,OUT035,1682.2122382352936
FDL46,OUT045,1827.832845454546
FDS60,OUT027,5329.314724444443
NCO06,OUT017,583.8145788617884
FDO16,OUT035,1435.9121343750003
FDC60,OUT049,1458.4550080536912
FDA48,OUT018,3327.95258292683
FDZ36,OUT027,5329.314724444443
FDK27,OUT045,1827.832845454546
FDW23,OUT018,507.0464036697249
FDM14,OUT018,1372.6884907407405
FDM14,OUT013,1649.299786000001
FDW60,OUT018,3259.562084905661
FDE21,OUT013,1922.149381714286
NCM42,OUT035,1682.2122382352936
FDY59,OUT010,219.21852093023244
DRI49,OUT049,1202.6567333333332
FDT28,OUT019,346.89728372093043
FDQ22,OUT018,507.0464036697249
FDR60,OUT049,1202.6567333333332
FDC50,OUT019,219.21852093023244
FDV24,OUT013,2503.5013364485985
DRF48,OUT010,482.6995426229506
FDQ47,OUT046,583.8145788617884
DRN36,OUT049,1573.0706258064515
NCY06,OUT035,1987.2510486486476
FDE52,OUT035,1435.9121343750003
NCB54,OUT045,1827.832845454546
NCF31,OUT035,2286.4132673684203
FDJ08,OUT027,5329.314724444443
NCC07,OUT017,1682.2122382352936
NCD19,OUT027,1378.2631852760742
FDL46,OUT049,1987.2510486486476
FDM20,OUT045,4340.218358415841
NCI06,OUT010,425.93559145299156
DRM11,OUT035,4433.304032653062
NCH07,OUT018,2232.84702184874
FDS23,OUT013,2142.743570940171
FDO49,OUT018,713.8586545454546
FDS35,OUT049,1103.1862133333336
DRK39,OUT045,1435.9121343750003
DRI39,OUT049,796.6402682539683
FDV04,OUT017,2503.5013364485985
NCN14,OUT035,3384.1080642424226
FDH08,OUT013,3643.51972598425
FDS20,OUT046,3384.1080642424226
FDV40,OUT049,1103.1862133333336
FDZ48,OUT010,281.48208181818165
FDS24,OUT027,2517.882088484848
FDK44,OUT049,2552.0052351851864
FDS48,OUT045,3053.099877777779
FDK26,OUT010,482.6995426229506
FDD23,OUT045,3391.5912527272717
NCH54,OUT017,2644.4778427083347
NCP14,OUT010,219.21852093023244
FDM60,OUT010,92.67548155339803
FDV24,OUT017,2503.5013364485985
FDH08,OUT018,3327.95258292683
FDS12,OUT027,3242.062071532848
FDR39,OUT027,5329.314724444443
FDP12,OUT027,1378.2631852760742
DRF60,OUT027,6280.89088
FDC09,OUT035,1682.2122382352936
FDF50,OUT018,2893.83982589928
FDG28,OUT035,4340.218358415841
NCE19,OUT017,935.0323883040938
NCM53,OUT010,281.48208181818165
NCN18,OUT049,1879.2570116129027
FDF32,OUT035,3130.004904950494
