Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1852.9996263631947
FDW14,OUT017,1579.6253027776502
NCN55,OUT010,1888.4466009137736
FDQ58,OUT017,2609.3137272366193
FDY38,OUT027,5179.228541181567
FDH56,OUT046,1915.7034715959298
FDL48,OUT018,596.7354505402295
FDC48,OUT027,2777.828943913412
FDN33,OUT045,1510.3662875297086
FDA36,OUT017,3079.223224562984
FDT44,OUT017,1997.2632212322878
FDQ56,OUT045,1306.6609009702343
NCC54,OUT019,1849.4183804332906
FDU11,OUT049,2045.7043562679137
DRL59,OUT013,888.7774636643633
FDM24,OUT049,2558.8073894987083
FDI57,OUT045,3088.6609293877777
DRC12,OUT018,2764.9271869836584
NCM42,OUT027,3192.4117716776504
FDA46,OUT010,1133.6542605248774
FDA31,OUT013,2798.812541809138
NCJ31,OUT035,3878.4109985973346
FDG52,OUT046,803.8870760581826
NCL19,OUT019,376.01724971945396
FDS10,OUT035,3027.56626773382
FDX22,OUT010,1448.8065604230783
NCF19,OUT035,915.07554858501
NCE06,OUT046,2527.7429303384356
DRC27,OUT046,3843.2279701737407
FDE21,OUT035,2025.2862599915093
NCR42,OUT019,-1357.7069058385698
FDX51,OUT018,2863.215144836392
NCR06,OUT018,429.3509394581656
FDU31,OUT027,4940.2167618764615
FDU59,OUT017,2712.2801757997904
FDR03,OUT027,4767.686665185401
FDS49,OUT027,2760.7259864725143
FDD48,OUT010,-73.36090656101919
NCF18,OUT017,3110.833640587489
NCD43,OUT027,3099.6340365174215
NCD54,OUT018,1989.8563495209755
FDY19,OUT010,-36.06339587892239
NCY54,OUT017,2810.908057154342
NCL19,OUT018,2023.2093677862904
FDP23,OUT010,1533.6166043585058
FDC26,OUT013,1817.9674511371954
FDR14,OUT010,-1040.0940098916424
NCS41,OUT035,3035.720702435646
FDF41,OUT035,4041.7847475786057
FDU34,OUT046,2002.5747895507852
DRH11,OUT046,919.7377052008574
FDM03,OUT013,1764.052229969816
FDS31,OUT017,3048.941452099113
FDJ20,OUT017,2092.0319993555904
FDV44,OUT027,4494.5072847494375
FDG02,OUT049,3102.747648811822
FDA09,OUT013,2910.7236559758007
FDT04,OUT013,690.7840585876154
FDL58,OUT019,2294.266179405702
FDE52,OUT045,1455.7573488698486
FDW12,OUT035,2503.711093888973
FDL51,OUT017,3549.1249498970274
NCY42,OUT027,3687.3393298154506
FDR07,OUT017,1658.686065953094
FDN40,OUT045,2374.4085352650122
FDB35,OUT027,2949.7656335164434
FDA22,OUT017,2742.2405489305747
NCL06,OUT046,4110.960229322835
