Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1852.9627505886892
FDW14,OUT017,1579.5667184553076
NCN55,OUT010,1888.4467224713385
FDQ58,OUT017,2609.202318684954
FDY38,OUT027,5179.239159316276
FDH56,OUT046,1915.7088949798385
FDL48,OUT018,596.7603874238748
FDC48,OUT027,2777.787945279501
FDN33,OUT045,1510.3972967990728
FDA36,OUT017,3079.1992222490817
FDT44,OUT017,1997.2701795103121
FDQ56,OUT045,1306.7010765771283
NCC54,OUT019,1849.5205658673285
FDU11,OUT049,2045.7524896814161
DRL59,OUT013,888.7797233612266
FDM24,OUT049,2558.8063005917397
FDI57,OUT045,3088.6542146681727
DRC12,OUT018,2764.9141880104303
NCM42,OUT027,3192.38094042118
FDA46,OUT010,1133.7458652548419
FDA31,OUT013,2798.856066024677
NCJ31,OUT035,3878.480488896557
FDG52,OUT046,803.86254852509
NCL19,OUT019,375.97846641440674
FDS10,OUT035,3027.52628997416
FDX22,OUT010,1448.8386320436068
NCF19,OUT035,915.0838506873706
NCE06,OUT046,2527.768957812526
DRC27,OUT046,3843.233074014441
FDE21,OUT035,2025.261096794573
NCR42,OUT019,-1357.6939101387493
FDX51,OUT018,2863.2084355413376
NCR06,OUT018,429.32529791818297
FDU31,OUT027,4940.190825687374
FDU59,OUT017,2712.2844430733035
FDR03,OUT027,4767.584324831114
FDS49,OUT027,2760.6914191093833
FDD48,OUT010,-73.34498527680995
NCF18,OUT017,3110.869747270079
NCD43,OUT027,3099.5892488766044
NCD54,OUT018,1989.8603862926757
FDY19,OUT010,-36.03864194225531
NCY54,OUT017,2810.9779353255117
NCL19,OUT018,2023.180820499315
FDP23,OUT010,1533.6246310471138
FDC26,OUT013,1818.0196634629406
FDR14,OUT010,-1039.9284650503953
NCS41,OUT035,3035.6903710251645
FDF41,OUT035,4041.8365115459524
FDU34,OUT046,2002.5542404255175
DRH11,OUT046,919.7540837383024
FDM03,OUT013,1764.0006136986326
FDS31,OUT017,3048.843766488613
