Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1625.4375139999986
FDW14,OUT017,1303.057153999999
NCN55,OUT010,732.0337839999997
FDQ58,OUT017,2513.3284200000007
FDY38,OUT027,5958.01117
FDH56,OUT046,1929.2953180000002
FDL48,OUT018,659.1952640000002
FDC48,OUT027,2007.0341260000005
FDN33,OUT045,1243.4547380000006
FDA36,OUT017,2659.7777880000003
FDT44,OUT017,1722.0384360000005
FDQ56,OUT045,1687.2437280000004
NCC54,OUT019,674.8748540000001
FDU11,OUT049,1770.0093259999994
DRL59,OUT013,754.9905680000002
FDM24,OUT049,2407.692592
FDI57,OUT045,3190.7133399999993
DRC12,OUT018,3233.584201999998
NCM42,OUT027,3054.950062
FDA46,OUT010,454.6947939999999
FDA31,OUT013,2881.9752220000028
NCJ31,OUT035,4049.7018679999983
FDG52,OUT046,671.6856720000001
NCL19,OUT019,434.00172999999995
FDS10,OUT035,3057.3802319999977
FDX22,OUT010,457.6642620000003
NCF19,OUT035,631.0585559999996
NCE06,OUT046,2131.8449940000005
DRC27,OUT046,4242.384388000001
FDE21,OUT035,1943.2704599999997
NCR42,OUT019,54.562310000000025
FDX51,OUT018,2455.337239999999
NCR06,OUT018,351.9152480000001
FDU31,OUT027,5678.255325999998
FDU59,OUT017,2086.683779999999
FDR03,OUT027,5393.958725999999
FDS49,OUT027,2336.052512
FDD48,OUT010,214.281072
NCF18,OUT017,3221.493274000001
NCD43,OUT027,2496.3372040000013
NCD54,OUT018,1669.366998000001
FDY19,OUT010,182.24943400000006
NCY54,OUT017,2573.536714000001
NCL19,OUT018,1929.2420539999994
FDP23,OUT010,411.88385400000027
FDC26,OUT013,1411.2496539999995
FDR14,OUT010,206.73089999999996
NCS41,OUT035,3312.1219699999992
FDF41,OUT035,3565.8450340000004
FDU34,OUT046,2162.431846000001
DRH11,OUT046,764.2585040000002
FDM03,OUT013,2344.448250000001
FDS31,OUT017,3362.3033159999986
FDJ20,OUT017,1940.9135280000005
FDV44,OUT027,4888.4633920000015
FDG02,OUT049,2495.864485999999
FDA09,OUT013,3384.6076160000002
FDT04,OUT013,548.8255979999999
FDL58,OUT019,600.125488
FDE52,OUT045,1547.5921779999996
FDW12,OUT035,2875.6434639999998
FDL51,OUT017,3693.505525999996
NCY42,OUT027,2833.644799999999
FDR07,OUT017,1481.4316319999991
FDN40,OUT045,2208.012514
FDB35,OUT027,2596.1739139999995
FDA22,OUT017,2223.8186060000003
NCL06,OUT046,4203.1954
FDI35,OUT013,3673.298495999999
NCW42,OUT045,3893.5784260000028
NCX06,OUT049,2926.397397999999
FDC37,OUT027,2661.2824960000003
FDZ14,OUT018,1876.5173519999992
DRG49,OUT049,5281.578344000001
NCG06,OUT045,3830.2408719999985
DRC36,OUT045,2882.088408000002
FDV21,OUT019,558.2000619999998
FDB53,OUT046,3242.0398620000005
DRP47,OUT019,556.7619340000005
FDA14,OUT013,2132.0047859999995
DRC24,OUT035,2444.804284
FDW21,OUT018,1543.5108240000004
NCH29,OUT046,1985.6619460000004
FDU58,OUT013,3487.1274999999982
FDY27,OUT017,2305.239288
FDV56,OUT035,1459.3470459999999
FDT59,OUT046,4115.163324000001
FDB23,OUT046,3830.6536680000013
FDR49,OUT045,848.1426460000006
FDB03,OUT010,620.8518420000001
FDN39,OUT045,3122.7218439999997
FDX02,OUT027,5993.817893999999
FDQ16,OUT027,2392.6188799999995
FDU35,OUT018,1691.484874000001
NCT29,OUT013,1165.3297659999992
FDZ27,OUT046,725.8018959999998
FDN57,OUT017,2035.8100019999986
FDA03,OUT018,2454.4317519999995
FDZ36,OUT045,3677.686118
NCU05,OUT013,1317.7580179999995
FDT39,OUT018,2474.159406
FDK60,OUT017,1488.655561999999
FDZ25,OUT017,3116.6231159999998
FDG12,OUT046,2575.7871179999984
DRB01,OUT019,482.658394
NCC43,OUT027,6154.05598
FDX13,OUT019,451.23929200000003
FDM22,OUT049,819.5332199999997
FDJ03,OUT027,1373.9848280000003
FDU14,OUT018,3401.685386
FDB33,OUT010,432.2040699999997
FDP27,OUT046,3657.492404
FDO38,OUT010,152.98752399999998
FDE28,OUT027,6375.820643999996
FDO27,OUT035,1427.342040000001
DRL23,OUT027,2329.8073079999995
FDS28,OUT046,813.8139979999999
FDX24,OUT013,1400.8431999999996
FDZ02,OUT035,1165.7891680000002
FDL46,OUT045,1782.3532579999999
FDS60,OUT027,4898.044253999999
NCO06,OUT017,439.30149800000004
FDO16,OUT035,1659.0337820000004
FDC60,OUT049,1800.6228100000008
FDA48,OUT018,4049.9881619999987
FDZ36,OUT027,5586.847644000001
FDK27,OUT045,1964.7158779999988
FDW23,OUT018,345.44367199999994
FDM14,OUT018,1562.3329900000006
FDM14,OUT013,1534.0830959999998
FDW60,OUT018,3327.468659999996
FDE21,OUT013,1781.8738820000005
NCM42,OUT035,1659.180258000001
FDY59,OUT010,292.08646
DRI49,OUT049,1417.6413340000006
FDT28,OUT019,271.1337340000001
FDQ22,OUT018,343.14000400000003
FDR60,OUT049,1235.4385059999986
FDC50,OUT019,285.39517
FDV24,OUT013,2234.990729999999
DRF48,OUT010,635.146568
FDQ47,OUT046,650.2735439999999
DRN36,OUT049,1318.3239480000002
NCY06,OUT035,2560.074238
FDE52,OUT035,1569.7500019999998
NCB54,OUT045,1571.1614980000002
NCF31,OUT035,2105.5525520000006
FDJ08,OUT027,4980.909722000001
NCC07,OUT017,1523.0441319999998
NCD19,OUT027,1290.0008160000004
FDL46,OUT049,1928.389830000001
FDM20,OUT045,4209.300786
NCI06,OUT010,361.36294999999996
DRM11,OUT035,4533.738468000001
NCH07,OUT018,2183.4977579999995
FDS23,OUT013,1985.9615560000009
FDO49,OUT018,670.7136040000004
FDS35,OUT049,1051.8508140000001
DRK39,OUT045,1557.5924939999995
DRI39,OUT049,834.3739019999999
FDV04,OUT017,1830.6969960000006
NCN14,OUT035,2843.039238
FDH08,OUT013,3018.3110880000004
FDS20,OUT046,3557.6556940000014
FDV40,OUT049,973.7591320000002
FDZ48,OUT010,248.27682000000007
FDS24,OUT027,2469.572044000001
FDK44,OUT049,2295.145760000001
FDS48,OUT045,2835.2360620000018
FDK26,OUT010,731.5477499999995
FDD23,OUT045,3743.9931399999973
NCH54,OUT017,2465.3308979999997
NCP14,OUT010,224.04170000000005
FDM60,OUT010,77.29937999999999
FDV24,OUT017,2522.563065999999
FDH08,OUT018,3043.984336
FDS12,OUT027,3811.278888000002
FDR39,OUT027,4824.879491999999
FDP12,OUT027,990.6771100000009
DRF60,OUT027,4698.470703999999
FDC09,OUT035,1642.1224620000003
FDF50,OUT018,3359.666747999999
FDG28,OUT035,3803.6221880000003
NCE19,OUT017,828.2085939999996
NCM53,OUT010,218.96164600000003
NCN18,OUT049,1545.3284579999997
FDF32,OUT035,3473.5385220000003
FDF11,OUT013,3408.3500439999993
DRI59,OUT049,4300.275698
NCG54,OUT035,2622.000296000002
FDM44,OUT046,1565.1959300000003
FDT57,OUT018,2707.129484
FDV24,OUT046,2256.955472
FDI50,OUT019,482.4653120000003
FDS09,OUT035,784.3257160000005
NCC31,OUT027,3261.9073339999986
FDQ07,OUT019,816.656964
FDC22,OUT017,3304.005867999999
FDZ56,OUT046,2819.2368879999995
FDZ40,OUT019,240.42038
FDS46,OUT027,2167.3853979999994
DRD24,OUT045,1741.632929999999
FDV45,OUT017,3342.1828399999995
FDL26,OUT045,3682.0604239999984
FDA56,OUT018,1659.9059799999993
FDN27,OUT046,1682.4899159999993
FDM20,OUT049,4940.435740000002
FDO16,OUT017,1881.204584
FDL03,OUT035,3013.5239859999983
FDE58,OUT046,2195.87498
FDI02,OUT027,3168.142720000001
NCC55,OUT019,113.265896
FDR03,OUT018,3297.4410800000005
FDB14,OUT017,1347.9653639999995
FDR45,OUT013,4585.078306000002
NCN07,OUT017,2251.7356000000004
FDM51,OUT019,303.1653720000001
FDT52,OUT027,6910.344857999996
FDL26,OUT046,2667.8139939999987
NCZ42,OUT046,3986.7438200000006
DRI47,OUT019,504.48331799999994
FDW40,OUT013,2219.6640139999977
FDN34,OUT046,3479.3176660000013
FDS01,OUT035,3099.5320300000017
NCG55,OUT045,1971.8732280000008
FDC11,OUT035,1256.4045480000007
FDX35,OUT018,2879.7514499999997
NCB06,OUT046,2245.2973140000017
FDR09,OUT019,587.0624919999999
FDC53,OUT017,1645.5846219999999
FDY45,OUT013,4317.246940000001
FDA22,OUT010,321.10868200000016
FDE02,OUT035,1567.4862819999992
FDW21,OUT045,1678.0556880000001
FDV34,OUT046,1252.8758080000002
FDS59,OUT049,1959.702403999999
NCW17,OUT017,2737.5765179999994
NCK54,OUT046,2159.9217800000006
FDG17,OUT019,326.115498
FDG35,OUT017,3587.1639500000015
FDD08,OUT010,69.33641200000002
NCO07,OUT017,4115.909020000003
FDJ10,OUT010,318.03268600000007
FDW36,OUT017,1760.0889060000002
FDW21,OUT010,168.467374
FDY19,OUT017,2258.5667080000003
DRE03,OUT013,694.742326
NCC55,OUT049,872.3311600000002
FDH52,OUT010,137.39448800000014
FDO09,OUT017,4470.121278000002
FDU43,OUT045,3955.2181900000014
FDX09,OUT010,383.66059200000035
FDH40,OUT019,306.48105599999985
FDW58,OUT017,1808.1729819999991
FDC47,OUT017,4810.871060000001
NCR41,OUT035,1345.64838
DRG49,OUT035,4697.352160000002
FDC52,OUT027,4536.042136000003
FDY13,OUT046,1241.5039439999996
FDY35,OUT013,693.0312199999994
FDI35,OUT017,4070.035400000001
NCU18,OUT049,2177.272528
FDY33,OUT018,2570.747012000001
FDC15,OUT027,3282.2342080000008
FDU01,OUT049,3523.1273059999994
NCU42,OUT046,3629.8617040000017
NCV29,OUT018,2988.5564859999995
NCY30,OUT017,3089.791375999999
FDQ46,OUT049,1615.071007999999
FDG58,OUT027,4266.299924000003
FDK33,OUT017,4519.077552
NCD07,OUT045,1636.0836559999998
NCX29,OUT027,3722.973834
NCT42,OUT013,2072.928352000001
DRN59,OUT035,785.2378619999998
FDI44,OUT035,1210.9836719999998
FDA45,OUT049,2073.088144000001
FDP31,OUT045,818.2881740000001
FDY01,OUT046,1924.9143540000002
FDT09,OUT018,1968.4843059999996
DRH03,OUT027,2570.793617999998
FDA36,OUT018,1824.3319480000002
NCF31,OUT017,2127.250974000001
FDG14,OUT049,2773.882592
FDG28,OUT027,5844.478954000002
FDU14,OUT049,4314.057758000002
FDY47,OUT019,230.36679999999996
FDI56,OUT049,1613.6395380000004
DRD01,OUT013,569.3988180000001
FDM22,OUT046,998.2472559999998
FDH33,OUT013,691.9459659999999
DRZ24,OUT013,2461.582444000001
NCQ38,OUT046,1624.3988660000002
FDO16,OUT027,1916.9913339999998
FDU07,OUT027,3714.4515940000006
NCB07,OUT013,2904.499235999999
FDU48,OUT045,1755.8544179999997
NCM43,OUT045,2366.3863600000004
FDR31,OUT010,298.43153400000006
DRK49,OUT018,383.90028
NCI30,OUT010,512.646026
DRD60,OUT017,3233.877153999999
NCG19,OUT046,2960.6261759999993
FDH12,OUT035,1737.0855159999994
FDM32,OUT035,1258.668268
FDM27,OUT035,3194.4018719999995
NCU53,OUT027,3791.4713380000017
NCQ18,OUT046,1919.175158
FDS10,OUT013,2870.623332
FDB33,OUT027,4100.176166000001
FDI12,OUT013,1166.008882
NCW42,OUT013,3816.505418000002
NCC06,OUT018,2341.425518000002
FDW02,OUT017,2317.623168000001
NCD43,OUT017,1540.4814339999994
FDM57,OUT018,1076.8249719999997
FDA58,OUT017,3908.965063999999
FDK56,OUT046,3389.567825999998
FDP52,OUT045,4253.3168239999995
FDW20,OUT018,2000.5825240000006
FDS52,OUT049,1577.9992640000003
NCT29,OUT018,1657.2893859999997
NCL54,OUT013,2642.9463640000017
FDC05,OUT045,2774.155570000001
FDF34,OUT035,3068.9518359999993
FDP03,OUT027,3134.2002359999983
FDD32,OUT010,203.19550200000006
FDZ10,OUT045,1481.4249739999996
FDZ40,OUT035,861.4653039999998
FDD51,OUT018,489.9156139999997
NCY30,OUT019,428.47558999999995
FDP58,OUT017,3594.1215600000032
FDV49,OUT017,4603.034932000001
FDY24,OUT019,133.91901199999992
NCO55,OUT017,1855.5979159999995
FDR13,OUT017,1554.1636239999996
FDS51,OUT017,904.5425640000001
FDP26,OUT045,1399.8178679999992
NCB54,OUT027,4619.047422000001
FDF32,OUT017,3233.5642280000006
FDN31,OUT018,2755.320088
DRM48,OUT017,798.4939399999996
FDN20,OUT049,2726.3910780000024
DRL01,OUT046,4333.0929799999985
FDV56,OUT049,1439.1666479999997
DRH13,OUT027,2515.6587200000013
FDA03,OUT017,2792.2253819999987
FDF47,OUT027,7479.264300000003
FDX32,OUT046,2762.1778280000003
FDX57,OUT049,1591.4484240000002
NCA30,OUT045,3315.7572379999997
FDO49,OUT013,755.5098920000004
FDL04,OUT019,222.46375399999982
DRM48,OUT035,870.307128
FDR16,OUT013,4685.980295999997
NCC19,OUT018,3254.297239999998
NCE42,OUT045,2798.7635380000006
FDY24,OUT017,1005.5177920000001
FDH19,OUT049,1840.4443079999994
FDJ46,OUT013,2479.0663520000007
FDN45,OUT010,619.906406
FDY08,OUT035,2051.729279999998
FDZ37,OUT035,1378.1127879999995
NCT30,OUT045,837.0038119999997
DRY23,OUT018,484.6757679999999
NCZ30,OUT018,1577.073802
FDC44,OUT018,1683.4886159999996
FDB45,OUT035,1641.270238
FDY04,OUT013,2072.748586
FDM27,OUT046,2971.019313999999
FDZ43,OUT017,4221.191974
FDT39,OUT019,438.14966400000014
NCC06,OUT019,269.91532000000007
FDL15,OUT027,3811.045857999999
FDL57,OUT017,5258.361897999999
FDU08,OUT046,1287.0180320000004
FDK40,OUT017,4655.007280000002
FDQ12,OUT010,567.8608200000002
FDS48,OUT017,3019.9356399999983
FDP09,OUT045,4780.384077999998
FDW21,OUT049,1570.269326
FDY25,OUT035,3734.9715500000016
DRE13,OUT017,1231.157412
FDV43,OUT019,84.31691200000002
FDD22,OUT045,1794.5240820000006
FDM46,OUT019,322.3803599999999
NCO30,OUT010,519.4505019999997
FDM25,OUT046,2849.530788000001
NCN41,OUT049,1898.3689080000008
FDU24,OUT045,1807.8866879999998
FDZ50,OUT046,2873.0668180000002
FDP45,OUT013,3494.2981660000023
NCM54,OUT045,1923.789151999999
FDW10,OUT019,465.75373200000035
FDP20,OUT017,1824.3785539999997
FDK32,OUT046,2654.3714919999998
FDN52,OUT049,1018.8204759999999
FDM58,OUT045,1914.2415800000003
FDZ46,OUT027,2609.00388
NCA18,OUT018,1721.2661079999996
FDD35,OUT046,2142.404582000001
NCK31,OUT035,655.0673039999997
FDI40,OUT027,2784.4688119999996
FDT50,OUT019,268.0111320000001
NCT06,OUT046,2855.609542
FDT31,OUT035,2992.065252000001
FDT45,OUT049,873.0901720000002
FDT13,OUT045,2959.654107999999
FDO50,OUT045,1609.7179760000001
NCU18,OUT010,348.7060919999999
NCR54,OUT049,3053.045873999999
NCO18,OUT018,2261.882391999999
FDU09,OUT045,743.2125659999999
